chem_name,prod_name
Caffeine,Ferulic + Retinol Triple Correction Eye Serum
Ferulic Acid,Ferulic + Retinol Triple Correction Eye Serum
Glycerin,Ferulic + Retinol Triple Correction Eye Serum
Mandelic Acid,Ferulic + Retinol Triple Correction Eye Serum
Panthenol,Ferulic + Retinol Triple Correction Eye Serum
Phenoxyethanol,Ferulic + Retinol Triple Correction Eye Serum
Propylene Glycol,Ferulic + Retinol Triple Correction Eye Serum
Retinol,Ferulic + Retinol Triple Correction Eye Serum
Sodium Hyaluronate,Ferulic + Retinol Triple Correction Eye Serum
Amino Acids,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Cetearyl Alcohol,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Collagen,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Ferulic Acid,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Glycerin,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Lactic Acid,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Mandelic Acid,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Phenoxyethanol,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Propanediol,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Retinol,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Sodium Hyaluronate,Ferulic + Retinol Wrinkle Recovery Overnight Serum
Butylene Glycol,Ferulic + Retinol Wrinkle Recovery Peel
Castor Oil,Ferulic + Retinol Wrinkle Recovery Peel
Dimethicone,Ferulic + Retinol Wrinkle Recovery Peel
Ferulic Acid,Ferulic + Retinol Wrinkle Recovery Peel
Glycerin,Ferulic + Retinol Wrinkle Recovery Peel
Lactic Acid,Ferulic + Retinol Wrinkle Recovery Peel
Mandelic Acid,Ferulic + Retinol Wrinkle Recovery Peel
Phenoxyethanol,Ferulic + Retinol Wrinkle Recovery Peel
Propylene Glycol,Ferulic + Retinol Wrinkle Recovery Peel
Retinol,Ferulic + Retinol Wrinkle Recovery Peel
Sodium Hyaluronate,Ferulic + Retinol Wrinkle Recovery Peel
Caprylyl Glycol,Find Your Balance™ Oil Control Cleanser
Glycerin,Find Your Balance™ Oil Control Cleanser
Lactic Acid,Find Your Balance™ Oil Control Cleanser
Phenoxyethanol,Find Your Balance™ Oil Control Cleanser
Butylene Glycol,FIRMx™ Exfoliating Peel Gel
Glycerin,FIRMx™ Exfoliating Peel Gel
Isopropyl Myristate,FIRMx™ Exfoliating Peel Gel
Phenoxyethanol,FIRMx™ Exfoliating Peel Gel
Sodium Hyaluronate,FIRMx™ Exfoliating Peel Gel
Butylene Glycol,First Care Activating Serum
Castor Oil,First Care Activating Serum
Glycerin,First Care Activating Serum
Phenoxyethanol,First Care Activating Serum
Propylene Glycol,First Care Activating Serum
Dimethicone,Advanced Génifique Anti-Aging Eye Cream
Glycerin,Advanced Génifique Anti-Aging Eye Cream
Phenoxyethanol,Advanced Génifique Anti-Aging Eye Cream
Propanediol,Advanced Génifique Anti-Aging Eye Cream
Triethanolamine,Advanced Génifique Anti-Aging Eye Cream
Butylene Glycol,GENIUS Ultimate Anti-Aging Cream
Caprylyl Glycol,GENIUS Ultimate Anti-Aging Cream
Collagen,GENIUS Ultimate Anti-Aging Cream
Dimethicone,GENIUS Ultimate Anti-Aging Cream
Glycerin,GENIUS Ultimate Anti-Aging Cream
Phenoxyethanol,GENIUS Ultimate Anti-Aging Cream
Palmitate,GENIUS Ultimate Anti-Aging Cream
Ascorbyl Glucoside,GenOptics Aura Essence Serum
Benzyl Alcohol,GenOptics Aura Essence Serum
Butylene Glycol,GenOptics Aura Essence Serum
Dimethicone,GenOptics Aura Essence Serum
Glycerin,GenOptics Aura Essence Serum
Methylparaben,GenOptics Aura Essence Serum
Panthenol,GenOptics Aura Essence Serum
Phenoxyethanol,GenOptics Aura Essence Serum
Phenoxyethanol,GinZing™ Refreshing Scrub Cleanser
Phenoxyethanol,Banana Soufflé Moisture Cream
Phenoxyethanol,Plum Plump™ Hyaluronic Acid Serum
Phenoxyethanol,Watermelon Glow PHA +BHA Pore-Tight Toner
Benzyl Alcohol,Glowmotions Glow Body Oil
Phenoxyethanol,Glowmotions Glow Body Oil
Phenoxyethanol,Glycol Lactic Radiance Renewal Mask
Phenoxyethanol,Glycolic Acid Exfoliating Toner
Butylene Glycol,Good Genes All-In-One Lactic Acid Treatment
Caprylyl Glycol,Good Genes All-In-One Lactic Acid Treatment
Cetearyl Alcohol,Good Genes All-In-One Lactic Acid Treatment
Dimethicone,Good Genes All-In-One Lactic Acid Treatment
Lactic Acid,Good Genes All-In-One Lactic Acid Treatment
Phenoxyethanol,Good Genes All-In-One Lactic Acid Treatment
Propanediol,Good Genes All-In-One Lactic Acid Treatment
Phenoxyethanol,Grape Water
Phenoxyethanol,Hello FAB Coconut Skin Smoothie Priming Moisturizer
Phenoxyethanol,Honey Potion Renewing Antioxidant Hydration Mask
Phenoxyethanol,Hyaluronic Acid Hydrating Serum
Phenoxyethanol,Instant Detox Mask
Butylene Glycol,Intensive Moisture Balance Moisturizer
Dimethicone,Intensive Moisture Balance Moisturizer
Lactic Acid,Intensive Moisture Balance Moisturizer
Phenoxyethanol,Intensive Moisture Balance Moisturizer
Propanediol,Intensive Moisture Balance Moisturizer
